table_no,record_name,title,year,author_st,taxonomic_group_st,issue,latin_family_name,latin_name,danish_genus_name,danish_family_name,danish_species_epithet,copyright
1339,floradanica_1339.tif,Cardamine impatiens L.,1808,J. W. Hornemann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 23,Brassicaceae,Cardamine impatiens L.,Springklap,Korsblomstfamilien,Kronløs,free
1340,floradanica_1340.tif,Vicia angustifolia Roth.,1808,J. W. Hornemann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 23,Fabaceae,Vicia angustifolia L. var. angustifolia,Vikke,Ærteblomstfamilien,Smalbladet,free
1341,floradanica_1341.tif,Carduus avanthoides Horn.,1808,J. W. Hornemann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 23,Asteraceae,Cirsium palustre (L.) Scop.,Tidsel,Kurvblomstfamilien,Kær-,free
1342,floradanica_1342.tif,Carex demissa Horn.,1808,J. W. Hornemann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 23,Cyperaceae,Carex demissa Hornem.,Star,Halvgræsfamilien,Grøn,free
1343,floradanica_1343.tif,Carex intermedia Good.,1808,J. W. Hornemann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 23,Cyperaceae,Carex disticha Hudson,Star,Halvgræsfamilien,Toradet,free
1344,floradanica_1344.tif,Carex filiformis L.,1808,J. W. Hornemann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 23,Cyperaceae,Carex lasiocarpa Ehrh.,Star,Halvgræsfamilien,Tråd-,free
1345,floradanica_1345.tif,Carpinus Betulus L.,1808,J. W. Hornemann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 23,Corylaceae,Carpinus betulus L.,Avnbøg,Hasselfamilien,,free
1346,floradanica_1346.tif,Aspidium Filix mas Horn.,1808,J. W. Hornemann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 23,Dryopteridaceae,Dryopteris expansa (C. Presl) Fraser-Jenkins & Jermy,Mangeløv,Mangeløvfamilien,Finbladet,free
1347,floradanica_1347.tif,Parmelia varia Ach. / Parmelia Vitellina Ach.,1808,J. W. Hornemann,Laver,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 23,,Lecanora varia (Ehrh.) Nyl. var. intricata.(?),,,,free
1348,floradanica_1348.tif,"Parmelia parella [gamma], upsaliensis Ach.",1808,J. W. Hornemann,Laver,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 23,,,,,,free
1349,floradanica_1349.tif,Parmelia multipuncta Ach.,1808,J. W. Hornemann,Laver,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 23,,"Lecanora sordida [alfa], glaucoma Th. Fr.",,,,free
1350,floradanica_1350.tif,Lecidea confluens Fr. / Lecidea corticola Horn.,1808,J. W. Hornemann,Laver,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 23,,"Buellia alboatra [alfa], vulgata Th. Fr.",,,,free
1351,floradanica_1351.tif,Parmelia rubra Ach. / Urceolaria scruposa v. bryophila (Ehrh.) Ach.,1808,J. W. Hornemann,Laver,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 23,,Gyalecta rubra (Ach.) Fr.,,,,free
1352,floradanica_1352.tif,Opegrapha? Horn. / Parmelia astroidea Horn.,1808,J. W. Hornemann,Laver,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 23,,Fungus incertae sedis.,,,,free
1353,floradanica_1353.tif,Endocarpon sp.?,1808,J. W. Hornemann,Laver,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 23,,"Parmeliae conspersae specimen sterile. (Figura indeterminabilis, forsan ...)",,,,free
1354,floradanica_1354.tif,Gyrophora vellea Horn.,1808,J. W. Hornemann,Laver,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 23,,Gyrophora spodochroa (Ehrh.) Ach.,,,,free
1355,floradanica_1355.tif,"Baeomyces furcatus [gamma], recurcus Horn. / Baeomyces pyxidatus [epsilon], marginalis Horn.",1808,J. W. Hornemann,Laver,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 23,,Cladonia furcata var. racemosa Flörk.,,,,free
1356,floradanica_1356.tif,Baeomyces radiatus Ach. / Baeomyces parechus Ach.,1808,J. W. Hornemann,Laver,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 23,,Cladonia gracilis (L.) Coëm.,,,,free
1357,floradanica_1357.tif,Usnea plicata (L.) Ach.,1808,J. W. Hornemann,Laver,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 23,,"Usnea barbata [gamma], plicata (L.) Fr.",,,,free
1358,floradanica_1358.tif,Splachnum rubrum L.,1808,J. W. Hornemann,Mosser,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 23,,,,,,free
1359,floradanica_1359.tif,Splachnum luteum L.,1808,J. W. Hornemann,Mosser,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 23,,,,,,free
1360,floradanica_1360.tif,Weissia fugax? Hedw. / Fissidens strumifera (Ehrh.) Hedw.,1808,J. W. Hornemann,Mosser,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 23,,Rhabdoweissia crispata (Dicks.) Lindb.,,,,free
1361,floradanica_1361.tif,Gymnostomum Heimii Hedw. / Splachnum mnioides Hedw.,1808,J. W. Hornemann,Mosser,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 23,,Pottia Heimii (Hedw.) var. aftinis Rab. (fig. rudis).,,,,free
1362,floradanica_1362.tif,Polytrichum arcticum Horn. / Polytrichum piliferum Schreb.,1808,J. W. Hornemann,Mosser,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 23,,Pogonatum alpinum (L.) Röhl.,,,,free
1363,floradanica_1363.tif,Fuligo vaporaria Horn. / Racodium cellare Pers.,1808,J. W. Hornemann,Slimsvampe,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 23,,?,,,,free
1364,floradanica_1364.tif,Arcyria cylindrica Schum. / Arcyria punicea Pers.,1808,J. W. Hornemann,Slimsvampe,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 23,,Stemonitis protracta Fr.,,,,free
1365,floradanica_1365.tif,Cribraria stellata Schum. / Trichia rubiformis Pers.,1808,J. W. Hornemann,Slimsvampe,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 23,,Hemiarcyria rubiformis (Pers.) Rostaf.,,,,free
1366,floradanica_1366.tif,Aecidium Tussilaginis Pers.,1808,J. W. Hornemann,Svampe,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 23,,(ad Pucciniam Poarum P.Niels. pertinens).,,,,free
1367,floradanica_1367.tif,Aecidium Rumicis Horn. / Uredo farinosa Horn.,1808,J. W. Hornemann,Svampe,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 23,,Puccinia Magnusiana Körn.,,,,free
1368,floradanica_1368.tif,Uredo suaceolens Pers.,1808,J. W. Hornemann,Svampe,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 23,,Puccinia suaveolens (Pers.) Rostr.,,,,free
1369,floradanica_1369.tif,"Puccinia mucronata [alfa], Rosae Pers. / Peziza anomala Schum.",1808,J. W. Hornemann,Svampe,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 23,,Phragmidium mucronatum (Pers.) Schldl.,,,,free
1370,floradanica_1370.tif,Agaricus deliquescens Horn.,1808,J. W. Hornemann,Svampe,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 23,,Coprinus atramentarius (Bull.) Fr.,,,,free
1371,floradanica_1371.tif,Agaricus digitalis Batsch?,1808,J. W. Hornemann,Svampe,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 23,,Coprinus digitalis (Batsch) Fr.,,,,free
1372,floradanica_1372.tif,Agaricus olivaceo-fuscus Horn.,1808,J. W. Hornemann,Svampe,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 23,,Agaricus (Armillaria) mucidus Schrad. var. olivaceo-fuscus (Horn.).,,,,free
1373,floradanica_1373.tif,Agaricus aeruginosus Curt.,1808,J. W. Hornemann,Svampe,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 23,,(Stropharia)!,,,,free
1374,floradanica_1374.tif,Hydnum coeruleum Horn.,1808,J. W. Hornemann,Svampe,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 23,,Hydnum suaveolens * coeruleum (Horn.) Fr.,,,,free
1375,floradanica_1375.tif,Hydnum crustosum Schum.,1808,J. W. Hornemann,Svampe,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 23,,Hydnum farinaceum Pers.,,,,free
1376,floradanica_1376.tif,Clavaria pallida Schum.,1808,J. W. Hornemann,Svampe,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 23,,Clavaria mucida Pers.,,,,free
1377,floradanica_1377.tif,Leotia Bulliardi Pers.,1808,J. W. Hornemann,Svampe,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 23,,Mitrula paludosa Fr.,,,,free
1378,floradanica_1378.tif,"Tremella clavariaeformis [beta], Pers. / Leotia(?) tuberculata Horn.",1808,J. W. Hornemann,Svampe,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 23,,Gymnosporangium clavariaeforme (Pers.) DC.,,,,free
1379,floradanica_1379.tif,Peziza marginata Schum. / Peziza tomentosa Schum.,1808,J. W. Hornemann,Svampe,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 23,,Peziza muscorum Holmskj.,,,,free
1380,floradanica_1380.tif,Peziza subulata Schum. / Sclerotium quercinum Schum.,1808,J. W. Hornemann,Svampe,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 23,,Helotium coronatum (Bull.) Karst.,,,,free
1381,floradanica_1381.tif,Eriophorum latifolium Hopp.,1810,J. W. Hornemann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 24,Cyperaceae,Eriophorum latifolium Hoppe,Kæruld,Halvgræsfamilien,Bredbladet,free
1382,floradanica_1382.tif,Bromus asper L. fil.,1810,J. W. Hornemann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 24,Poaceae,Bromus ramosus Hudson,Hejre,Græsfamilien,Sildig Skov-,free
1383,floradanica_1383.tif,Bromus erectus Sm.,1810,J. W. Hornemann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 24,Poaceae,Bromus erectus Hudson,Hejre,Græsfamilien,Opret,free
1384,floradanica_1384.tif,Potamogeton acuminatum Schum.,1810,J. W. Hornemann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 24,Potamogetonaceae,Potamogeton lucens L.,Vandaks,Vandaksfamilien,Glinsende,free
1385,floradanica_1385.tif,Primula stricta Horn.,1810,J. W. Hornemann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 24,Primulaceae,Primula stricta Horn.,Kodriver,Kodriverfamilien,Rank,free
1386,floradanica_1386.tif,Juncus campestris L. var. Horn.,1810,J. W. Hornemann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 24,Juncaceae,Luzula arcuata (Wahlenb.) Swartz ssp. confusa (Lindeb.) ?,Frytle,Sivfamilien,Varde-,free
1387,floradanica_1387.tif,Epilobium nutans Horn.,1810,J. W. Hornemann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 24,Onagraceae,Epilobium lactiflorum Hausskn.,Dueurt,Natlysfamilien,Mælke-,free
1388,floradanica_1388.tif,Saxifraga caespitosa L.,1810,J. W. Hornemann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 24,Saxifragaceae,Saxifraga cespitosa L.,Stenbræk,Stenbrækfamilien,Tue-,free
1389,floradanica_1389.tif,Fragaria collina Ehrh.,1810,J. W. Hornemann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 24,Rosaceae,Fragaria viridis Duchesne,Jordbær,Rosenfamilien,Bakke-,free
1390,floradanica_1390.tif,Potentilla hirsuta Vahl. mscr.,1810,J. W. Hornemann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 24,Rosaceae,Potentilla vahliana Lehm.,Potentil,Rosenfamilien,Vahls,free
1391,floradanica_1391.tif,Helleborus hyemalis L.,1810,J. W. Hornemann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 24,Ranunculaceae,Eranthis hyemalis (L.) Salisb.,Erantis,Ranunkelfamilien,,free
1392,floradanica_1392.tif,Cardamine faeroeensis Horn.,1810,J. W. Hornemann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 24,Brassicaceae,Cardaminopsis petraea (L.) Hiitonen,Sandkarse,Korsblomstfamilien,Klippe-,free
1393,floradanica_1393.tif,Sinapis alba L.,1810,J. W. Hornemann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 24,Brassicaceae,Sinapis alba L.,Sennep,Korsblomstfamilien,Gul,free
1394,floradanica_1394.tif,Corydalis fabacea (Retz.) Pers.,1810,J. W. Hornemann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 24,Fumariaceae,Corydalis intermedia (L.) Merat,Lærkespore,Jordrøgfamilien,Liden,free
1395,floradanica_1395.tif,Vicia cassubica L.,1810,J. W. Hornemann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 24,Fabaceae,Vicia cassubica L.,Vikke,Ærteblomstfamilien,Kassubisk,free
1396,floradanica_1396.tif,Astragalus oroboides Horn.,1810,J. W. Hornemann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 24,Fabaceae,Astragalus norvegicus Weber,Astragel,Ærteblomstfamilien,Norsk,free
1397,floradanica_1397.tif,Erigeron uniflorus L.,1810,J. W. Hornemann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 24,Asteraceae,Erigeron uniflorus L.,Bakkestjerne,Kurvblomstfamilien,Sne-,free
1398,floradanica_1398.tif,Ophrys Myodes Jacq.,1810,J. W. Hornemann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 24,Orchidaceae,Ophrys insectifera L.,Flueblomst,Gøgeurtfamilien,,free
1399,floradanica_1399.tif,Limodorum Epipogium Sw.,1810,J. W. Hornemann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 24,Orchidaceae,Epipogium aphyllum Swartz,Knælæbe,Gøgeurtfamilien,,free
1400,floradanica_1400.tif,Epipactis pallens Willd.,1810,J. W. Hornemann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 24,Orchidaceae,Cephalanthera damasonium (Miller) Druce,Skovlilje,Gøgeurtfamilien,Hvidgul,free
1401,floradanica_1401.tif,Carex petraea Wahlenb.,1810,J. W. Hornemann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 24,Cyperaceae,Carex rupestris All.,Star,Halvgræsfamilien,Klippe-,free
1402,floradanica_1402.tif,Carex microglochin Wahlenb.,1810,J. W. Hornemann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 24,Cyperaceae,Carex microglochin Wahlenb.,Star,Halvgræsfamilien,Syl-,free
1403,floradanica_1403.tif,Carex loliacea L.,1810,J. W. Hornemann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 24,Cyperaceae,Carex loliacea L.,Star,Halvgræsfamilien,Finstrået,free
1404,floradanica_1404.tif,Carex tomentosa Horn.,1810,J. W. Hornemann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 24,Cyperaceae,Carex globularis L.,Star,Halvgræsfamilien,Kugle-,free
1405,floradanica_1405.tif,Carex ornithopoda Willd.,1810,J. W. Hornemann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 24,Cyperaceae,Carex ornithopoda Willd.,Star,Halvgræsfamilien,Fugle-,free
1406,floradanica_1406.tif,Carex Buxbaumii Willd.,1810,J. W. Hornemann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 24,Cyperaceae,Carex buxbaumii Wahlenb. ssp. buxbaumii,Star,Halvgræsfamilien,Kølle-,free
1407,floradanica_1407.tif,Carex rotundata Wahlenb.,1810,J. W. Hornemann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 24,Cyperaceae,Carex rotundata Wahlenb.,Star,Halvgræsfamilien,Rundkapslet,free
1408,floradanica_1408.tif,Carex chordorrhiza Schk.,1810,J. W. Hornemann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 24,Cyperaceae,Carex chordorrhiza Ehrh.,Star,Halvgræsfamilien,Grenet,free
1409,floradanica_1409.tif,Equisetum hiemale L.,1810,J. W. Hornemann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 24,Equisetaceae,Equisetum hyemale L.,Skavgræs,Padderokfamilien,,free
1410,floradanica_1410.tif,Phascum patens Hedw.,1810,J. W. Hornemann,Mosser,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 24,,Aphanorrhegma patens (H.) Lindb.,,,,free
1411,floradanica_1411.tif,Phascum serratum Schreb. / Phascum curvicollum Ehrh.,1810,J. W. Hornemann,Mosser,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 24,,Ephemerum serratum (Schreb.) Hampe.,,,,free
1412,floradanica_1412.tif,Tetraphis pellucida (L.) Hedw.,1810,J. W. Hornemann,Mosser,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 24,,Georgia pellucida (L.) Rabenh.,,,,free
1413,floradanica_1413.tif,Splachnum vasculosum L.,1810,J. W. Hornemann,Mosser,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 24,,,,,,free
1414,floradanica_1414.tif,Splachnum fastigiatum Sw.,1810,J. W. Hornemann,Mosser,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 24,,Tetraplodon mnioides var. Breweri (Schrank) Br. et Sch.,,,,free
1415,floradanica_1415.tif,Sphagnum squarrosum Pers.,1810,J. W. Hornemann,Mosser,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 24,,,,,,free
1416,floradanica_1416.tif,Dicranum ambiguum Hedw. / Encalypta ciliata Hedw.,1810,J. W. Hornemann,Mosser,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 24,,Trematodon ambiguus (H.) Hornsch.,,,,free
1417,floradanica_1417.tif,Catharinea hercynica Ehrh.,1810,J. W. Hornemann,Mosser,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 24,,Oligotrichum incurvum (Hedw.) Lindb.,,,,free
1418,floradanica_1418.tif,Polytrichum yuccaefolium (W. et M.).,1810,J. W. Hornemann,Mosser,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 24,,Polytrichum commune L. (Fig. macra).,,,,free
1419,floradanica_1419.tif,Polytrichum gracile Menz.,1810,J. W. Hornemann,Mosser,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 24,,,,,,free
1420,floradanica_1420.tif,Orthotrichum diaphanum Schrad. / Orthotrichum anomalum Hedw.,1810,J. W. Hornemann,Mosser,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 24,,,,,,free
1421,floradanica_1421.tif,Leskea trichomanoides Leyss.,1810,J. W. Hornemann,Mosser,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 24,,Homalia trichomanoides (Schreb.) Brid.,,,,free
1422,floradanica_1422.tif,Cinclidium stygium Sw.,1810,J. W. Hornemann,Mosser,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 24,,,,,,free
1423,floradanica_1423.tif,Hypnum boreale Horn. / Hypnum nutans Web. et M.,1810,J. W. Hornemann,Mosser,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 24,,Bryum pallens Sw. (?),,,,free
1424,floradanica_1424.tif,Hypnum longicollum Web. et M. / Conostomum boreala Sw.,1810,J. W. Hornemann,Mosser,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 24,,Webera longicollis (Sw.) Hedw.,,,,free
1425,floradanica_1425.tif,Encalypta affinis Hedw.,1810,J. W. Hornemann,Mosser,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 24,,Encalypta alpina Sm.,,,,free
1426,floradanica_1426.tif,Marchantia pilosa Horn.,1810,J. W. Hornemann,Mosser,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 24,,Grimaldia pilosa (Horn.) Lindb.,,,,free
1427,floradanica_1427.tif,Marchantia polymorpha L.,1810,J. W. Hornemann,Mosser,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 24,,,,,,free
1428,floradanica_1428.tif,Jungermannia pinguís L.,1810,J. W. Hornemann,Mosser,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 24,,Aneura pinguis (L.) Dmrt.,,,,free
1429,floradanica_1429.tif,Ulva olivacea Horn.,1810,J. W. Hornemann,Alger,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 24,,"Echinella olivacea Lgb. Hydroph. p. 209, tab. 70.",,,,free
1430,floradanica_1430.tif,Peltidea polaris Ach.,1810,J. W. Hornemann,Laver,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 24,,Nephroma arcticum (L.) Schär.,,,,free
1431,floradanica_1431.tif,Lecidea flavo-coerulescens Horn. / Lecidea silacea Ach.,1810,J. W. Hornemann,Laver,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 24,,"Buellia myriocarpa [alfa], punctiformis (Hffm.) Mudd.",,,,free
1432,floradanica_1432.tif,Urceolaria cinerea Ach.? / Lecidea albocoerulescens Ach.?,1810,J. W. Hornemann,Laver,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 24,,Aspicilia cinerea (Ach.) Körb.,,,,free
1433,floradanica_1433.tif,Geaster (Geastrum) refescens (Pers.) Fr.,1810,J. W. Hornemann,Svampe,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 24,,,,,,free
1434,floradanica_1434.tif,Physarum aurantium Schum. / Physarum tigrinum Schrad.,1810,J. W. Hornemann,Slimsvampe,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 24,,Physarum nutans Pers. (statu juniore).,,,,free
1435,floradanica_1435.tif,Aecidium Majanthae Schum.,1810,J. W. Hornemann,Svampe,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 24,,Aecidium Convallariae Schum.,,,,free
1436,floradanica_1436.tif,Uredo Alchemillae Pers.,1810,J. W. Hornemann,Svampe,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 24,,Uromyces Alchemillae (Pers.) DC.,,,,free
1437,floradanica_1437.tif,Uredo Caricis Pers. / Peziza scutellata L.,1810,J. W. Hornemann,Svampe,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 24,,Ustilago Caricis (Pers.),,,,free
1438,floradanica_1438.tif,Agaricus tubaeformis Pers.,1810,J. W. Hornemann,Svampe,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 24,,Lentinus lepideus Fr. monstr.,,,,free
1439,floradanica_1439.tif,Hydnum aurantiacum Alb. et Schw.,1810,J. W. Hornemann,Svampe,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 24,,,,,,free
1440,floradanica_1440.tif,Peziza lutescens Pers. / Peziza virginea Pers.,1810,J. W. Hornemann,Svampe,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 24,,Helotium lutescens (Pers.) Fr.,,,,free
1441,floradanica_1441.tif,Eriophorum triquetrum Schrad.,1813,J. W. Hornemann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 25,Cyperaceae,Eriophorum gracile Koch ex Roth,Kæruld,Halvgræsfamilien,Fin,free
1442,floradanica_1442.tif,Eriophorum angustifolium Roth.,1813,J. W. Hornemann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 25,Cyperaceae,Eriophorum angustifolium Honckeny ssp. angustifolium,Kæruld,Halvgræsfamilien,Smalbladet,free
1443,floradanica_1443.tif,Agrostis (Trichodium) canina L.,1813,J. W. Hornemann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 25,Poaceae,Agrostis canina L. s.l.,Hvene,Græsfamilien,,free
1444,floradanica_1444.tif,Poa trivialis Horn.,1813,J. W. Hornemann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 25,Poaceae,Poa pratensis L.,Rapgræs,Græsfamilien,Eng-,free
1445,floradanica_1445.tif,Festuca bromoides Smith.,1813,J. W. Hornemann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 25,Poaceae,Vulpia bromoides (L.) S. F. Gray,Væselhale,Græsfamilien,Langstakket,free
1446,floradanica_1446.tif,Bromus secalinus L.,1813,J. W. Hornemann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 25,Poaceae,Bromus secalinus L.,Hejre,Græsfamilien,Rug-,free
1447,floradanica_1447.tif,Triticum caninum Schrad. (Elymus L.),1813,J. W. Hornemann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 25,Poaceae,Roegneria canina (L.) Nevski,Hundekvik,Græsfamilien,Almindelig,free
